TF	DF	WORD
22	20	youtub
22	20	50
22	20	bitcoin
22	19	bank
22	19	card
22	18	radio
22	18	dog
22	17	beach
21	21	continu
21	21	recommend
21	21	chanc
21	21	player
21	21	vike
21	21	exercis
21	21	artwork
21	21	cranberri
21	21	oriordan
21	21	also
21	21	young
21	21	step
21	21	everyth
21	20	healthi
21	20	group
21	20	medic
21	20	rap
21	19	pick
21	19	democrat
21	19	fund
21	13	logo
20	20	presid
20	20	wait
20	20	someth
20	20	seri
20	20	beat
20	20	anyon
20	20	costarica
20	20	host
20	20	complet
20	20	class
20	20	46
20	20	sure
20	20	collect
20	20	hollywood
20	20	perfect
20	20	inform
20	20	lose
20	20	justic
20	20	arrest
20	20	econom
20	20	short
20	20	perform
20	19	press
20	19	might
20	19	three
20	19	organ
20	19	financ
20	18	gym
20	18	cours
20	18	car
20	18	truth
20	17	draw
20	17	coach
20	17	golf
20	13	yoga
19	19	club
19	19	thought
19	19	boost
19	19	confer
19	19	intellig
19	19	increas
19	19	racist
19	19	pay
19	19	problem
19	19	critic
19	19	weightloss
19	19	without
19	19	th
19	19	america
19	19	spend
19	19	rise
19	19	apparel
19	19	stream
19	19	second
19	19	weight
19	18	vacat
19	18	action
19	18	insid
19	18	test
19	18	park
19	18	write
19	18	guy
19	18	adventur
19	18	recruit
19	18	green
19	17	selfi
19	17	color
19	17	europ
19	16	basebal
19	16	tourism
19	16	coffe
19	16	walk
19	13	ear
18	18	hot
18	18	interview
18	18	htt
18	18	25
18	18	info
18	18	charg
18	18	isnt
18	18	lot
18	18	red
18	18	said
18	18	space
18	18	stand
18	18	found
18	18	favorit
18	18	hear
18	18	expert
18	18	wshh
18	18	canada
18	17	festiv
18	17	men
18	17	vintag
18	17	tour
18	16	smartphon
17	17	million
17	17	proud
17	17	role
17	17	worth
17	17	matter
17	17	posit
17	17	forward
17	17	episod
17	17	access
17	17	pass
17	17	cybersecur
17	17	drive
17	17	york
17	17	comedi
17	17	humor
17	17	gain
17	17	silver
17	16	cup
17	16	super
17	16	rais
17	16	leav
17	16	base
17	16	allow
17	16	soccer
17	16	doctor
17	16	client
17	16	age
17	15	mean
17	15	carillion
17	15	trade
17	15	present
17	15	comment
17	15	light
17	14	focu
17	14	brain
17	13	u
17	11	snow
16	16	stoke
16	16	hard
16	16	toward
16	16	direct
16	16	cloth
16	16	bag
16	16	reuter
16	16	wsj
16	16	activ
16	16	f
16	16	smallbiz
16	16	saturday
16	16	centr
16	16	away
16	16	architectur
16	16	ago
16	16	die
16	16	competit
16	16	ahead
16	16	digitalmarket
16	16	wall
16	16	possibl
16	16	wish
16	16	growth
16	16	yet
16	16	flight
16	16	hit
16	16	director
16	16	done
16	16	9
16	15	heard
16	15	b
16	15	download
16	15	doesnt
16	15	area
16	15	deliv
16	15	record
16	15	effect
16	15	old
16	15	leather
16	15	price
16	14	box
16	14	death
16	14	messag
16	14	law
16	13	assist
16	8	bmx
15	15	highlight
15	15	sinc
15	15	bad
15	15	boy
15	15	abus
15	15	theater
15	15	welcom
15	15	youth
15	15	illustr
15	15	tomorrow
15	15	exclus
15	15	2016
15	15	insight
15	15	valu
15	15	ill
15	15	offici
15	15	consid
15	15	appli
15	15	close
15	15	dead
15	15	celeb
15	15	friday
15	15	easi
15	15	divers
15	15	line
15	15	receiv
15	15	la
15	15	healthcar
15	15	iran
15	15	strategi
15	15	left
15	14	instagram
15	14	along
15	14	basic
15	14	skill
15	14	iphon
15	14	talent
15	14	shot
15	14	cruis
15	14	race
15	14	pro
15	14	reach
15	14	winner
15	14	weve
15	14	trust
15	14	peac
15	13	nba
15	13	elect
15	13	feb
15	13	economi
15	13	stress
15	13	chicago
15	12	hr
14	14	smart
14	14	18
14	14	charact
14	14	secret
14	14	match
14	14	ultim
14	14	cnn
14	14	rock
14	14	togeth
14	14	bloomberg
14	14	financi
14	14	danc
14	14	discov
14	14	technew
14	14	subscrib
14	14	pictur
14	14	four
14	14	popular
14	14	electr
14	14	cold
14	14	topic
14	14	near
